pos,desc_lis,img_lis,min,max_coll,voti,perc,area,circ_sto,cod_reg,data_prec_elez,desc_reg,dt_agg,dt_ele,ele_f,ele_m,ele_t,f_elet,fine_rip,l_terr,non_valid,perc_vot,reg_sto,sk_bianche,sk_contestate,sk_nulle,st,sz_perv,sz_tot,t_ele,tot_vot_lis,vot_f,vot_m,vot_t
5,LEGA SALVINI PREMIER,1-20190526000000-5.png,N,NA,251696,"33,88",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
12,PARTITO DEMOCRATICO,1-20190526000000-12.png,N,NA,185260,"24,94",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
8,MOVIMENTO 5 STELLE,1-20190526000000-8.png,N,NA,122536,"16,49",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
11,FORZA ITALIA,1-20190526000000-11.png,N,NA,57887,"7,79",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
7,FRATELLI D'ITALIA,1-20190526000000-7.png,N,NA,42118,"5,67",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
1,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1-20190526000000-1.png,N,NA,22649,"3,05",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
16,EUROPA VERDE,1-20190526000000-16.png,N,NA,18332,"2,47",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
18,LA SINISTRA,1-20190526000000-18.png,N,NA,16148,"2,17",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
2,PARTITO COMUNISTA,1-20190526000000-2.png,N,NA,8826,"1,19",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
4,PARTITO ANIMALISTA,1-20190526000000-4.png,N,NA,5649,"0,76",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
6,POPOLARI PER L'ITALIA,1-20190526000000-6.png,N,NA,3104,"0,42",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
17,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,1-20190526000000-17.png,N,NA,2531,"0,34",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
10,CASAPOUND ITALIA - DESTRE UNITE,1-20190526000000-10.png,N,NA,2395,"0,32",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
3,PARTITO PIRATA,1-20190526000000-3.png,N,NA,2090,"0,28",I,1,7,2.0140525e+13,LIGURIA,20190527054451,2.0190526e+13,690223,621892,1312115,SCRUTINI,N,REGIONE,NULL,"58,50",7,8800,43,15836,ESERCIZIO,1791,1791,Europee,742915,394908,372686,767594
